"subID","block","trial","targetImage","targetIdx","coherence","staircase","respFrame","response","accuracy","RT","flickerDuration","accuracyFactor","zlogRT"
"71",1,51," S1-15.jpg",1,0.8933,1,49,1,1,0.8344,0.8366,"1",-0.585347117191973
"71",1,52," S2-19.jpg",2,0.6576,2,33,2,1,0.629,0.6327,"1",-1.55526159691431
"71",1,53," S1-15.jpg",1,0.8882,1,50,1,1,0.8646,0.867,"1",-0.463313693349557
"71",1,54," S2-19.jpg",2,0.6455,2,28,2,1,0.5287,0.5371,"1",-2.15149258614099
"71",1,55," S1-15.jpg",1,0.8828,1,51,1,1,0.8488,0.8513,"1",-0.526617543026756
"71",1,56," S1-15.jpg",1,0.7071,2,77,2,0,1.2292,1.2314,"0",0.744359258709785
"71",1,57," S2-19.jpg",2,0.6893,1,52,2,1,0.8386,0.8411,"1",-0.568113606880462
"71",1,58," S2-19.jpg",2,0.6338,2,82,2,1,1.2828,1.2854,"1",0.890856877121386
"71",1,59," S2-19.jpg",2,0.6786,1,51,1,0,0.8456,0.8478,"0",-0.539581991275094
"71",1,60," S1-15.jpg",1,0.7261,2,77,1,1,1.2177,1.22,"1",0.712096291734286
"71",1,61," S1-15.jpg",1,0.8771,1,47,1,1,0.7937,0.796,"1",-0.75698901622221
"71",1,62," S2-19.jpg",2,0.6228,2,75,2,1,1.1796,1.182,"1",0.602987776451398
"71",1,63," S1-15.jpg",1,0.8709,1,37,1,1,0.6761,0.6787,"1",-1.30741368950597
"71",1,64," S1-15.jpg",1,0.7194,2,107,1,1,1.6341,1.6364,"1",1.72164294429301
"71",1,65," S1-15.jpg",1,0.8646,1,66,1,1,1.0726,1.0749,"1",0.276607894534368
"71",1,66," S2-19.jpg",2,0.6124,2,36,2,1,0.6506,0.6536,"1",-1.43937311837362
"71",1,67," S1-15.jpg",1,0.8582,1,124,1,1,1.8766,1.8792,"1",2.19657300359857
"71",1,68," S1-15.jpg",1,0.7125,2,51,2,0,0.8648,0.8673,"0",-0.462519814869546
"71",1,69," S1-15.jpg",1,0.8515,1,44,2,0,0.7688,0.7711,"0",-0.866393614447876
"71",1,70," S2-19.jpg",2,0.6026,2,66,1,0,1.0814,1.0836,"0",0.304653116136041
"71",1,71," S1-15.jpg",1,0.8669,1,56,1,1,0.9128,0.9153,"1",-0.277110192075183
"71",1,72," S1-15.jpg",1,0.7286,2,82,2,0,1.285,1.2874,"0",0.896738282022296
"71",1,73," S2-19.jpg",2,0.7035,1,55,2,1,0.9057,0.9084,"1",-0.303912163303091
"71",1,74," S2-19.jpg",2,0.6248,2,67,1,0,1.0713,1.0737,"0",0.272445355033638
