"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
67,1,60," S1-15.jpg",1,1," green","congruent",2,0,1.3425,0.8,1,0.65,0.65,0.5425
67,1,61," S1-15.jpg",1,3," orange","neutral",1,1,1.4841,0.7833,1,0.5,0.5,0.7008
67,1,62," S1-15.jpg",1,1," green","congruent",1,1,1.4008,0.8,1,0.65,0.65,0.6008
67,1,63," S2-19.jpg",2,1," green","incongruent",1,0,0.5903,0.8833,1,0.65,0.35,-0.293
67,1,64," S1-15.jpg",1,1," green","congruent",2,0,0.9532,0.8333,1,0.65,0.65,0.1199
67,1,65," S2-19.jpg",2,2," purple","congruent",2,1,1.3423,0.7667,1,0.65,0.65,0.5756
67,1,66," S2-19.jpg",2,1," green","incongruent",2,1,1.2607,0.85,1,0.65,0.35,0.4107
67,1,67," S1-15.jpg",1,1," green","congruent",2,0,1.0248,0.8833,1,0.65,0.65,0.1415
67,1,68," S2-19.jpg",2,2," purple","congruent",2,1,1.3537,1.0333,1,0.65,0.65,0.3204
67,1,69," S1-15.jpg",1,2," purple","incongruent",2,0,0.3969,0.7833,1,0.65,0.35,-0.3864
67,1,70," S2-19.jpg",2,2," purple","congruent",2,1,1.4956,1,1,0.65,0.65,0.4956
67,1,71," S1-15.jpg",1,1," green","congruent",1,1,1.4485,0.7667,1,0.65,0.65,0.6818
67,1,72," S2-19.jpg",2,2," purple","congruent",2,1,1.0957,0.75,1,0.65,0.65,0.3457
67,1,73," S2-19.jpg",2,1," green","incongruent",1,0,0.643,0.8167,1,0.65,0.35,-0.1737
67,1,74," S1-15.jpg",1,2," purple","incongruent",2,0,0.5024,0.7667,1,0.65,0.35,-0.2643
67,1,75," S2-19.jpg",2,3," orange","neutral",2,1,1.3895,0.8333,1,0.5,0.5,0.5562
67,1,76," S2-19.jpg",2,2," purple","congruent",2,1,1.6257,0.9333,1,0.65,0.65,0.6924
